trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrans,orrientation,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
35,0.5,1.0,75.9391885999994,76.4390954999999,76.4390954999999,76.4390954999999,76.7438977999991,right,1.0,0,0,0.6185744000013074,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
36,0.5,1.5,77.06995479999932,77.56967929999882,77.56967929999882,77.56967929999882,77.87514029999875,left,-1.5,0,0,0.3690520000000106,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
37,0.5,2.0,77.95111120000001,78.45065849999992,78.45065849999992,78.45065849999992,78.75568949999979,right,2.0,1,1,0.5009416000011697,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
38,0.5,2.0,78.96384469999975,79.46353269999963,79.46353269999963,79.46353269999963,79.76873779999914,right,2.0,0,0,1.1898478000002797,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
39,0.5,2.5,80.66343899999993,81.16329020000012,81.16329020000012,81.16329020000012,81.46861609999905,right,2.5,1,1,0.8028118000001996,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
40,0.5,2.5,81.97475739999936,82.47412239999903,82.47412239999903,82.47412239999903,82.77920799999993,right,2.5,1,1,0.6601221000000805,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
41,0.5,2.5,83.14693989999978,83.6474621999987,83.6474621999987,83.6474621999987,83.95186379999905,right,2.5,1,1,0.3452978000004805,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
42,0.5,2.0,84.00055259999863,84.50011409999934,84.50011409999934,84.50011409999934,,left,-2.0,0,0,0.25259139999980107,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
43,0.5,2.5,84.7634521,85.2629108000001,85.2629108000001,85.2629108000001,85.56826889999866,left,-2.5,1,1,0.5128204000011465,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
44,0.5,2.5,85.78328409999995,86.28310659999988,86.28310659999988,86.28310659999988,86.58794309999939,left,-2.5,1,1,0.4409562000000733,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
45,0.5,2.5,86.73358819999885,87.23331909999979,87.23331909999979,87.23331909999979,,left,-2.5,1,1,0.28964040000028035,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
46,0.5,2.0,87.53638129999854,88.03124070000013,88.03124070000013,88.03804479999962,88.33032439999988,right,2.0,0,0,0.4801872000007279,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
47,0.5,2.5,88.52840499999911,89.02802379999957,89.02802379999957,89.03760989999864,89.32846719999907,right,2.5,1,1,0.6502965000017866,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
48,0.5,2.5,89.69398509999883,90.18856210000013,90.18856210000013,90.19552209999893,90.4937589000001,right,2.5,1,1,0.6573134000009304,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
49,0.5,2.5,90.85422440000002,91.35394730000007,91.35394730000007,91.35394730000007,91.65902509999978,right,2.5,1,1,0.4710733000010805,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
50,0.5,2.0,91.8325119000001,92.33209410000018,92.33209410000018,92.33209410000018,92.63731559999906,right,2.0,1,1,0.38630490000105056,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
51,0.5,2.0,92.72736489999988,93.22690289999991,93.22690289999991,93.22690289999991,93.53199399999903,right,2.0,1,1,0.4326935000008234,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
52,0.5,2.0,93.67593229999875,94.17044669999996,94.17044669999996,94.17725450000034,94.47551869999916,right,2.0,1,1,0.35940860000118846,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
53,0.5,1.5,94.5379858999986,95.03773209999963,95.03773209999963,95.03773209999963,95.34264289999919,right,1.5,1,1,0.40605990000221936,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
54,0.5,1.5,95.46082399999977,95.9538266999989,95.9538266999989,95.9606031000003,96.25857429999996,left,-1.5,1,1,0.535884700000679,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
55,0.5,1.5,96.50820999999996,97.00082370000018,97.00082370000018,97.00843669999995,97.30613350000021,right,1.5,1,1,0.6784084000009898,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
56,0.5,1.0,97.68770099999892,98.18740079999952,98.18740079999952,98.18740079999952,98.49207980000028,right,1.0,0,0,0.464302400001543,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
57,0.5,1.5,98.65870100000029,99.15882369999963,99.15882369999963,99.15882369999963,99.4635030999998,left,-1.5,1,1,0.4910031000017625,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
